Source,Target,Type,Id,Label,Weight
p275,p544,Undirected,562,,2.0
p276,p348,Undirected,563,,2.0
p278,p471,Undirected,564,,1.0
p279,p124,Undirected,565,,1.0
p280,p474,Undirected,566,,2.0
p281,p306,Undirected,567,,2.0
p286,p169,Undirected,568,,2.0
p286,p305,Undirected,569,,2.0
p288,p510,Undirected,570,,4.0
p290,p3,Undirected,571,,1.0
p290,p588,Undirected,572,,1.0
p291,p277,Undirected,573,,1.0
p291,p549,Undirected,574,,2.0
p291,p579,Undirected,575,,2.0
p292,p540,Undirected,576,,2.0
p293,p510,Undirected,577,,2.0
p294,p469,Undirected,578,,4.0
p297,p66,Undirected,579,,1.0
p298,p500,Undirected,580,,1.0
p299,p340,Undirected,581,,1.0
p301,p489,Undirected,582,,4.0
p302,p407,Undirected,583,,4.0
p303,p337,Undirected,584,,2.0
p303,p356,Undirected,585,,2.0
p303,p371,Undirected,586,,1.0
p304,p436,Undirected,587,,4.0
p305,p558,Undirected,588,,1.0
p306,p314,Undirected,589,,4.0
p306,p336,Undirected,590,,2.0
p307,p476,Undirected,591,,2.0
p309,p440,Undirected,592,,2.0
p310,p80,Undirected,593,,1.0
p310,p245,Undirected,594,,1.0
p311,p523,Undirected,595,,2.0
p313,p382,Undirected,596,,2.0
p314,p366,Undirected,597,,2.0
p314,p554,Undirected,598,,2.0
p316,p352,Undirected,599,,4.0
p316,p434,Undirected,600,,2.0
p317,p375,Undirected,601,,4.0
p318,p499,Undirected,602,,2.0
p319,p500,Undirected,603,,2.0
p320,p111,Undirected,604,,1.0
p326,p546,Undirected,605,,4.0
p327,p488,Undirected,606,,2.0
p328,p7,Undirected,607,,1.0
p329,p331,Undirected,608,,2.0
p329,p416,Undirected,609,,2.0
p330,p252,Undirected,610,,1.0
p330,p258,Undirected,611,,1.0
p330,p523,Undirected,612,,2.0
p331,p403,Undirected,613,,2.0
p333,p478,Undirected,614,,2.0
p334,p277,Undirected,615,,1.0
p334,p405,Undirected,616,,2.0
p335,p371,Undirected,617,,1.0
p337,p343,Undirected,618,,2.0
p337,p385,Undirected,619,,2.0
p337,p453,Undirected,620,,2.0
p337,p544,Undirected,621,,2.0
p338,p452,Undirected,622,,4.0
p340,p36,Undirected,623,,1.0
p340,p387,Undirected,624,,2.0
p342,p389,Undirected,625,,1.0
p346,p124,Undirected,626,,1.0
p348,p440,Undirected,627,,2.0
p349,p534,Undirected,628,,2.0
p351,p115,Undirected,629,,1.0
p351,p371,Undirected,630,,2.0
p353,p427,Undirected,631,,2.0
p355,p11,Undirected,632,,1.0
p355,p53,Undirected,633,,1.0
p355,p515,Undirected,634,,2.0
p359,p3,Undirected,635,,1.0
p361,p438,Undirected,636,,2.0
p363,p418,Undirected,637,,2.0
p365,p391,Undirected,638,,4.0
p366,p3,Undirected,639,,1.0
p366,p554,Undirected,640,,2.0
p367,p516,Undirected,641,,2.0
p369,p3,Undirected,642,,1.0
p369,p258,Undirected,643,,1.0
p370,p36,Undirected,644,,1.0
p371,p426,Undirected,645,,2.0
p371,p464,Undirected,646,,2.0
p372,p452,Undirected,647,,4.0
p373,p65,Undirected,648,,1.0
p374,p575,Undirected,649,,4.0
p378,p414,Undirected,650,,4.0
p379,p385,Undirected,651,,2.0
p380,p494,Undirected,652,,4.0
p384,p156,Undirected,653,,1.0
p385,p395,Undirected,654,,2.0
p385,p398,Undirected,655,,2.0
p387,p499,Undirected,656,,2.0
p387,p501,Undirected,657,,2.0
p390,p104,Undirected,658,,1.0
p390,p463,Undirected,659,,2.0
p390,p583,Undirected,660,,2.0
p391,p483,Undirected,661,,2.0
p394,p80,Undirected,662,,1.0
p394,p467,Undirected,663,,2.0
p394,p535,Undirected,664,,2.0
p395,p460,Undirected,665,,4.0
p396,p510,Undirected,666,,2.0
p399,p3,Undirected,667,,1.0
p401,p424,Undirected,668,,2.0
p405,p245,Undirected,669,,1.0
p405,p258,Undirected,670,,1.0
p406,p4,Undirected,671,,1.0
p406,p443,Undirected,672,,4.0
p408,p463,Undirected,673,,1.0
p408,p520,Undirected,674,,2.0
p408,p526,Undirected,675,,2.0
p408,p477,Undirected,676,,2.0
p412,p523,Undirected,677,,2.0
p416,p428,Undirected,678,,2.0
p416,p552,Undirected,679,,2.0
p418,p448,Undirected,680,,2.0
p421,p427,Undirected,681,,2.0
p422,p528,Undirected,682,,4.0
p423,p522,Undirected,683,,2.0
p424,p437,Undirected,684,,2.0
p425,p466,Undirected,685,,2.0
p426,p502,Undirected,686,,4.0
p429,p467,Undirected,687,,2.0
p433,p463,Undirected,688,,2.0
p438,p572,Undirected,689,,2.0
p440,p525,Undirected,690,,2.0
p441,p502,Undirected,691,,2.0
p444,p464,Undirected,692,,2.0
p444,p509,Undirected,693,,2.0
p445,p457,Undirected,694,,4.0
p448,p473,Undirected,695,,2.0
p449,p536,Undirected,696,,4.0
p451,p485,Undirected,697,,2.0
p454,p16,Undirected,698,,1.0
p461,p124,Undirected,699,,1.0
p462,p245,Undirected,700,,1.0
p463,p521,Undirected,701,,2.0
p463,p533,Undirected,702,,2.0
p466,p36,Undirected,703,,1.0
p468,p156,Undirected,704,,1.0
p469,p5,Undirected,705,,1.0
p469,p557,Undirected,706,,2.0
p480,p151,Undirected,707,,1.0
p482,p371,Undirected,708,,1.0
p482,p541,Undirected,709,,4.0
p487,p412,Undirected,710,,1.0
p495,p156,Undirected,711,,1.0
p495,p400,Undirected,712,,1.0
p495,p544,Undirected,713,,2.0
p497,p3,Undirected,714,,1.0
p503,p556,Undirected,715,,2.0
p503,p589,Undirected,716,,1.0
p504,p526,Undirected,717,,4.0
p505,p336,Undirected,718,,1.0
p508,p92,Undirected,719,,1.0
p518,p523,Undirected,720,,1.0
p526,p3,Undirected,721,,1.0
p527,p560,Undirected,722,,2.0
p529,p551,Undirected,723,,2.0
p532,p47,Undirected,724,,1.0
p532,p579,Undirected,725,,2.0
p536,p124,Undirected,726,,1.0
p539,p277,Undirected,727,,1.0
p540,p581,Undirected,728,,2.0
p542,p521,Undirected,729,,2.0
p543,p559,Undirected,730,,2.0
p547,p3,Undirected,731,,1.0
p551,p387,Undirected,732,,1.0
p553,p571,Undirected,733,,4.0
p558,p246,Undirected,734,,1.0
p559,p586,Undirected,735,,1.0
p569,p3,Undirected,736,,1.0
p577,p22,Undirected,737,,1.0
p579,p3,Undirected,738,,1.0
p579,p588,Undirected,739,,1.0
p233,p337,Undirected,740,,1.0
p127,p390,Undirected,741,,2.0
p134,p508,Undirected,742,,2.0
p138,p236,Undirected,743,,4.0
p139,p362,Undirected,744,,2.0
p142,p587,Undirected,745,,1.0
p144,p154,Undirected,746,,4.0
p166,p345,Undirected,747,,2.0
p192,p380,Undirected,748,,4.0
p196,p313,Undirected,749,,4.0
p200,p397,Undirected,750,,4.0
p235,p431,Undirected,751,,4.0
p237,p344,Undirected,752,,2.0
